,country,year,cement_co2_per_capita,,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,,PM2.5 air pollution - mean annual exposure (micrograms per cubic meter),Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),category
0,Africa,1990,0.036,,0.472,0.033,0.121,0.39,,46.71909567,169060,26.82003403,Africa
1,Africa,1991,0.038,,0.475,0.032,0.122,0.401,,46.53055893,173284,26.76845526,Africa
2,Africa,1992,0.038,,0.436,0.035,0.112,0.389,,46.34202218,177903,26.77197566,Africa
3,Africa,1993,0.036,,0.469,0.032,0.12,0.386,,46.15348544,183152,26.86027823,Africa
4,Africa,1994,0.036,,0.473,0.031,0.122,0.367,,45.9649487,188664,26.97337015,Africa
5,Africa,1995,0.038,,0.484,0.034,0.142,0.38,,45.77641195,192552,26.84511689,Africa
6,Africa,1996,0.038,,0.48,0.032,0.147,0.368,,45.76638035,198038,26.9307145,Africa
7,Africa,1997,0.038,,0.479,0.031,0.126,0.405,,45.75634876,207919,27.58506467,Africa
8,Africa,1998,0.038,,0.46,0.03,0.146,0.411,,45.74631716,215795,27.93690036,Africa
9,Africa,1999,0.038,,0.463,0.03,0.145,0.374,,45.73628556,223212,28.20098868,Africa
10,Africa,2000,0.039,,0.457,0.068,0.141,0.389,,45.72625397,226947,27.98414465,Africa
11,Africa,2001,0.04,,0.448,0.07,0.145,0.362,,45.19158296,233898,28.14987186,Africa
12,Africa,2002,0.041,,0.424,0.084,0.158,0.341,,44.65691194,240765,28.28209116,Africa
13,Africa,2003,0.041,,0.448,0.076,0.167,0.377,,44.12224093,248444,28.48317271,Africa
14,Africa,2004,0.043,,0.467,0.086,0.171,0.394,,43.58756992,253462,28.35644075,Africa
15,Africa,2005,0.046,,0.451,0.083,0.2,0.375,,43.05289891,258604,28.22712334,Africa
16,Africa,2006,0.049,,0.446,0.078,0.191,0.397,,42.87193311,267694,28.50203746,Africa
17,Africa,2007,0.051,,0.447,0.079,0.2,0.399,,42.6909673,274436,28.49738079,Africa
18,Africa,2008,0.052,,0.461,0.073,0.198,0.414,,42.5100015,282637,28.61788876,Africa
19,Africa,2009,0.057,,0.438,0.06,0.189,0.432,,42.32903569,292369,28.86039525,Africa
20,Africa,2010,0.057,,0.425,0.062,0.194,0.434,,42.14806988,301219,28.9827607,Africa
21,Africa,2011,0.055,,0.406,0.054,0.208,0.457,,41.81991322,311465,29.20687957,Africa
22,Africa,2012,0.058,,0.393,0.054,0.214,0.427,,43.2374383,327136,29.89336902,Africa
23,Africa,2013,0.059,,0.381,0.051,0.211,0.422,,41.81167153,341977,30.45086869,Africa
24,Africa,2014,0.061,,0.395,0.05,0.214,0.464,,40.93724746,356071,30.89731111,Africa
25,Africa,2015,0.062,,0.363,0.046,0.215,0.434,,49.69521769,370225,31.31028845,Africa
26,Africa,2016,0.064,,0.358,0.039,0.22,0.438,,48.28726421,373196,30.76533612,Africa
27,Africa,2017,0.062,,0.354,0.04,0.228,0.43,86.129,48.34794284,374338,30.08610353,Africa
28,Asia,1990,0.075,,1.01,0.025,0.201,0.717,89.749,47.82145091,1269376,39.35644081,Asia
29,Asia,1991,0.082,,1.028,0.022,0.213,0.748,97.993,47.86814662,1307105,39.82450956,Asia
30,Asia,1992,0.09,,1.029,0.021,0.224,0.787,106.975,47.91484234,1353316,40.55838191,Asia
31,Asia,1993,0.097,,1.052,0.02,0.238,0.806,110.312,47.96153805,1398933,41.27344045,Asia
32,Asia,1994,0.105,,1.082,0.02,0.249,0.818,113.417,48.00823377,1443560,41.95083689,Asia
33,Asia,1995,0.112,,1.128,0.018,0.247,0.826,115.153,48.05492948,1487301,42.58884196,Asia
34,Asia,1996,0.115,,1.158,0.018,0.256,0.843,117.255,48.16585071,1545446,43.61997404,Asia
35,Asia,1997,0.116,,1.142,0.019,0.267,0.842,114.763,48.27677194,1624115,45.20041844,Asia
36,Asia,1998,0.112,,1.075,0.018,0.263,0.812,112.649,48.38769317,1691030,46.42174313,Asia
37,Asia,1999,0.118,,1.06,0.018,0.282,0.844,110.744,48.49861441,1771581,47.98678625,Asia
38,Asia,2000,0.123,,1.088,0.018,0.287,0.885,108.85,48.60953564,1847321,49.38938295,Asia
39,Asia,2001,0.13,,1.096,0.019,0.294,0.877,110.608,49.196309,1914088,50.52597009,Asia
40,Asia,2002,0.138,,1.191,0.017,0.308,0.866,114.246,49.78308236,1980923,51.64163055,Asia
41,Asia,2003,0.15,,1.347,0.018,0.328,0.887,120.062,50.36985572,2052730,52.86261741,Asia
42,Asia,2004,0.16,,1.486,0.02,0.348,0.927,129.739,50.95662908,2118183,53.89592045,Asia
43,Asia,2005,0.169,,1.641,0.023,0.365,0.918,136.932,51.54340244,2189795,55.06204899,Asia
44,Asia,2006,0.184,,1.769,0.025,0.391,0.918,143.165,52.01228287,2251745,55.96296258,Asia
45,Asia,2007,0.197,,1.885,0.023,0.407,0.912,146.906,52.48116331,2343093,57.56771355,Asia
46,Asia,2008,0.202,,1.987,0.024,0.431,0.92,149.277,52.95004374,2462476,59.81978993,Asia
47,Asia,2009,0.216,,2.054,0.027,0.442,0.928,140.11,53.41892417,2535778,60.91791279,Asia
48,Asia,2010,0.23,,2.198,0.026,0.48,0.961,166.619,53.8878046,2633128,62.56718122,Asia
49,Asia,2011,0.249,,2.382,0.025,0.517,0.961,168.688,54.52067386,2743692,64.49577375,Asia
50,Asia,2012,0.252,,2.442,0.025,0.529,1.005,186.73,50.09644907,2851278,66.31916818,Asia
51,Asia,2013,0.263,,2.442,0.026,0.532,1.003,195.456,50.86595329,2976717,68.52183598,Asia
52,Asia,2014,0.27,,2.442,0.027,0.565,0.984,195.842,48.7694851,3072012,70.00065995,Asia
53,Asia,2015,0.255,,2.402,0.024,0.578,1.014,197.44,48.64814787,3151685,71.10698298,Asia
54,Asia,2016,0.263,,2.347,0.029,0.594,1.017,199.587,46.50386205,3199177,71.48299862,Asia
55,Asia,2017,0.265,,2.367,0.036,0.612,1.027,103.016,46.90107292,3235892,71.62443644,Asia
56,Europe,1990,0.213,,4.146,0.087,2.42,4.103,92.156,18.56617065,599175,83.03109914,Europe
57,Europe,1991,0.196,,3.85,0.083,2.407,4.003,84.336,18.32971503,600724,83.02350164,Europe
58,Europe,1992,0.182,,3.469,0.076,2.371,3.551,74.792,18.09325942,605893,83.54947926,Europe
59,Europe,1993,0.165,,3.299,0.071,2.358,3.358,69.69,17.8568038,630226,86.75116541,Europe
60,Europe,1994,0.163,,3.094,0.066,2.266,3.163,70.697,17.62034819,641037,88.13122893,Europe
61,Europe,1995,0.165,,3.068,0.07,2.277,3.14,65.884,17.38389257,634060,87.11412425,Europe
62,Europe,1996,0.154,,3.013,0.07,2.397,3.16,64.982,17.2353679,612800,84.18811541,Europe
63,Europe,1997,0.157,,2.846,0.071,2.332,3.11,63.429,17.08684323,593786,81.61326886,Europe
64,Europe,1998,0.16,,2.725,0.07,2.408,3.126,63.655,16.93831855,576161,79.24634687,Europe
65,Europe,1999,0.163,,2.615,0.071,2.44,3.088,65.312,16.78979388,577386,79.46063554,Europe
66,Europe,2000,0.168,,2.704,0.07,2.462,2.974,64.917,16.64126921,568603,78.26566772,Europe
67,Europe,2001,0.164,,2.747,0.069,2.521,3.049,65.1,16.59678209,560690,77.15195891,Europe
68,Europe,2002,0.166,,2.713,0.08,2.519,3.019,67.235,16.55229498,562446,77.33433444,Europe
69,Europe,2003,0.171,,2.772,0.081,2.634,3.026,69.569,16.50780787,557305,76.53919398,Europe
70,Europe,2004,0.181,,2.748,0.084,2.677,3.022,69.656,16.46332076,540056,74.06522994,Europe
71,Europe,2005,0.186,,2.683,0.087,2.7,3.029,71.788,16.41883365,539311,73.84605598,Europe
72,Europe,2006,0.194,,2.784,0.089,2.706,3.029,73.089,16.43550968,522697,71.44624632,Europe
73,Europe,2007,0.206,,2.78,0.1,2.693,2.935,70.731,16.45218571,520819,71.0526167,Europe
74,Europe,2008,0.19,,2.673,0.083,2.725,2.93,56.577,16.46886174,525167,71.49988763,Europe
75,Europe,2009,0.152,,2.372,0.081,2.519,2.78,61.663,16.48553777,518397,70.43208978,Europe
76,Europe,2010,0.154,,2.461,0.092,2.728,2.754,64.673,16.5022138,515705,69.92344555,Europe
77,Europe,2011,0.158,,2.517,0.095,2.623,2.675,63.085,16.63120853,497830,67.36737506,Europe
78,Europe,2012,0.152,,2.569,0.095,2.556,2.613,62.516,15.31009149,482776,65.208047,Europe
79,Europe,2013,0.148,,2.47,0.094,2.484,2.565,62.671,14.79927953,463113,62.44039434,Europe
80,Europe,2014,0.151,,2.319,0.082,2.318,2.572,61.544,14.2500361,444848,59.8740485,Europe
81,Europe,2015,0.145,,2.285,0.077,2.299,2.632,60.096,14.47106656,441116,59.27206985,Europe
82,Europe,2016,0.142,,2.154,0.079,2.39,2.656,60.936,13.43167628,416684,55.89762143,Europe
83,Europe,2017,0.145,,2.078,0.085,2.462,2.68,27.311,13.46590686,399625,53.52621094,Europe
84,North America,1990,0.128,,4.621,0.136,2.886,6.289,26.92,9.554770848,110408,25.82536548,North America
85,North America,1991,0.122,,4.54,0.134,2.908,6.06,26.462,9.528190668,109722,25.35964291,North America
86,North America,1992,0.122,,4.542,0.135,2.969,6.112,25.852,9.501610488,109047,24.88954223,North America
87,North America,1993,0.126,,4.605,0.134,3.006,6.079,27.485,9.475030308,111159,25.05543565,North America
88,North America,1994,0.134,,4.588,0.134,3.041,6.154,30.515,9.448450128,111941,24.91350563,North America
89,North America,1995,0.13,,4.585,0.133,3.125,6.028,31.677,9.421869948,112758,24.77309913,North America
90,North America,1996,0.131,,4.714,0.142,3.159,6.16,31.608,9.418330473,111733,24.22547262,North America
91,North America,1997,0.135,,4.759,0.147,3.14,6.19,32.496,9.414790998,111007,23.74716159,North America
92,North America,1998,0.137,,4.771,0.142,3.06,6.219,32.384,9.411251522,111276,23.48889695,North America
93,North America,1999,0.139,,4.721,0.128,3.059,6.298,29.661,9.407712047,111503,23.23427457,North America
94,North America,2000,0.143,,4.85,0.128,3.18,6.384,28.394,9.404172572,109735,22.57344943,North America
95,North America,2001,0.14,,4.665,0.12,3.029,6.372,29.298,9.423584261,107989,21.95918191,North America
96,North America,2002,0.144,,4.627,0.117,3.113,6.276,28.082,9.44299595,106490,21.41910219,North America
97,North America,2003,0.143,,4.675,0.115,3.045,6.382,30.13,9.462407639,103119,20.52329872,North America
98,North America,2004,0.149,,4.663,0.111,3.03,6.448,31.449,9.481819328,98804,19.45827488,North America
99,North America,2005,0.151,,4.678,0.111,2.97,6.424,33.005,9.501231017,97217,18.94068022,North America
100,North America,2006,0.154,,4.568,0.116,2.939,6.27,32.178,9.453619084,94332,18.17650658,North America
101,North America,2007,0.153,,4.566,0.125,3.074,6.185,30.865,9.406007151,89246,17.0044641,North America
102,North America,2008,0.142,,4.428,0.155,3.059,5.749,27.04,9.358395218,84461,15.91285283,North America
103,North America,2009,0.112,,3.838,0.14,2.984,5.401,32.582,9.310783285,79481,14.81042149,North America
104,North America,2010,0.114,,4.021,0.126,3.081,5.37,31.997,9.263171352,75944,14.00151695,North America
105,North America,2011,0.116,,3.773,0.124,3.127,5.251,32.639,9.630811687,75448,13.76844355,North America
106,North America,2012,0.123,,3.313,0.122,3.217,5.142,33.209,8.914901948,73033,13.1967598,North America
107,North America,2013,0.121,,3.384,0.133,3.281,5.126,34.588,8.641442734,70771,12.66680793,North America
108,North America,2014,0.127,,3.336,0.148,3.307,5.083,32.854,8.142225648,68018,12.06261483,North America
109,North America,2015,0.129,,2.895,0.158,3.362,5.101,30.184,7.973349587,66704,11.72485083,North America
110,North America,2016,0.124,,2.648,0.142,3.335,5.05,29.369,7.32104817,64353,11.21494915,North America
111,North America,2017,0.127,,2.553,0.132,3.261,5.032,,7.311074589,62260,10.76077313,North America
